Id_cliente,fecha_efectiva,Id_tx,clase,valor
118,2020-11-05,6688,COMPRA,499900.0
123,2021-02-13,6688,AVANCE,800000.0
123,2021-02-13,6688,COMPRA,499900.0
124,2020-09-23,5136,COMPRA,108940.0
124,2020-09-23,5136,COMPRA,38288.0
124,2020-09-23,5136,COMPRA,800000.0
137,2020-11-24,5136,COMPRA,108940.0
137,2020-11-24,5136,COMPRA,38288.0
137,2020-11-24,5136,COMPRA,800000.0
129,2020-09-28,5136,COMPRA,108940.0
129,2020-09-28,5136,COMPRA,38288.0
129,2020-09-28,5136,COMPRA,800000.0
141,2020-12-12,6902,COMPRA,78000.0
113,2020-10-23,3563,COMPRA,20436.0
109,2020-10-23,8939,COMPRA,200000.0
116,2020-11-24,9558,COMPRA,66050.0
139,2020-10-19,5254,COMPRA,197000.0
120,2020-12-12,3617,AVANCE,300000.0
109,2020-12-06,4955,COMPRA,49452.0
113,2020-12-31,8145,AVANCE,50000.0
145,2020-11-04,6788,AVANCE,500000.0
131,2021-01-06,7830,COMPRA,2900.0
118,2021-01-08,3212,COMPRA,10000.0
115,2020-11-22,5680,AVANCE,700000.0
116,2020-12-04,6398,COMPRA,305680.0
125,2020-12-05,7355,AVANCE,800000.0
125,2020-12-05,7355,COMPRA,80000.0
123,2021-02-13,7355,AVANCE,800000.0
123,2021-02-13,7355,COMPRA,80000.0
125,2021-01-05,8878,COMPRA,140857.0
125,2021-01-05,8878,COMPRA,53212.0
125,2021-01-05,8878,COMPRA,807886.0
122,2021-02-18,8878,COMPRA,140857.0
122,2021-02-18,8878,COMPRA,53212.0
122,2021-02-18,8878,COMPRA,807886.0
145,2020-09-02,8878,COMPRA,140857.0
145,2020-09-02,8878,COMPRA,53212.0
145,2020-09-02,8878,COMPRA,807886.0
124,2020-10-22,3147,AVANCE,200000.0
112,2021-02-28,6927,COMPRA,335600.0
119,2020-12-20,4858,COMPRA,122400.0
118,2020-11-10,5794,COMPRA,50000.0
118,2020-11-10,5794,AVANCE,300000.0
102,2020-11-19,5794,COMPRA,50000.0
102,2020-11-19,5794,AVANCE,300000.0
127,2020-09-01,4823,AVANCE,200000.0
115,2020-12-05,7625,AVANCE,800000.0
104,2020-09-23,3699,COMPRA,266527.0
122,2020-09-21,7886,COMPRA,750421.0
128,2020-10-15,7991,COMPRA,1313526.0
111,2021-02-25,6120,COMPRA,10500.0
145,2021-02-02,5530,AVANCE,800000.0
134,2021-02-08,3782,AVANCE,20000.0
116,2020-10-07,3467,AVANCE,900000.0
125,2020-09-23,5375,COMPRA,130891.0
106,2020-11-17,2993,AVANCE,800000.0
106,2020-11-17,2993,COMPRA,65900.0
107,2020-10-02,2993,AVANCE,800000.0
107,2020-10-02,2993,COMPRA,65900.0
130,2020-12-07,4983,AVANCE,350000.0
124,2020-12-11,4220,COMPRA,450918.0
119,2020-12-11,8420,AVANCE,400000.0
142,2021-02-08,4553,AVANCE,800000.0
130,2020-10-08,2800,COMPRA,60000.0
128,2021-02-26,5709,COMPRA,171162.0
101,2020-11-22,4271,COMPRA,28900.0
122,2021-01-13,4832,AVANCE,800000.0
120,2020-10-28,2859,COMPRA,287200.0
125,2021-01-13,3292,COMPRA,101958.0
127,2020-12-13,9780,AVANCE,800000.0
119,2021-01-28,3523,AVANCE,520000.0
128,2021-01-23,8871,AVANCE,400000.0
114,2020-09-28,5834,COMPRA,107148.0
114,2020-09-28,5834,COMPRA,153920.0
105,2020-11-18,5834,COMPRA,107148.0
105,2020-11-18,5834,COMPRA,153920.0
123,2021-01-15,6321,COMPRA,137000.0
123,2021-01-15,6321,COMPRA,38900.0
156,2020-11-01,6321,COMPRA,137000.0
156,2020-11-01,6321,COMPRA,38900.0
125,2021-01-13,3958,COMPRA,34029.24
125,2021-01-13,3958,COMPRA,72930.0
112,2020-11-20,3958,COMPRA,34029.24
112,2020-11-20,3958,COMPRA,72930.0
120,2021-01-29,4224,COMPRA,365618.0
120,2021-01-29,4224,COMPRA,412000.0
128,2020-10-30,4224,COMPRA,365618.0
128,2020-10-30,4224,COMPRA,412000.0
118,2021-01-29,7781,AVANCE,300000.0
131,2021-02-25,9455,COMPRA,310631.0
128,2020-12-11,6316,COMPRA,70000.0
158,2021-01-30,7454,COMPRA,561458.0
158,2021-01-30,7454,COMPRA,82440.0
158,2021-01-30,7454,COMPRA,89900.0
143,2021-01-06,7454,COMPRA,561458.0
143,2021-01-06,7454,COMPRA,82440.0
143,2021-01-06,7454,COMPRA,89900.0
115,2020-12-20,7454,COMPRA,561458.0
115,2020-12-20,7454,COMPRA,82440.0
115,2020-12-20,7454,COMPRA,89900.0
130,2020-10-15,5669,COMPRA,483950.0
130,2020-10-15,5669,COMPRA,70600.0
130,2020-10-15,5669,COMPRA,19745.0
124,2021-01-15,5669,COMPRA,483950.0
124,2021-01-15,5669,COMPRA,70600.0
124,2021-01-15,5669,COMPRA,19745.0
122,2020-12-19,5669,COMPRA,483950.0
122,2020-12-19,5669,COMPRA,70600.0
122,2020-12-19,5669,COMPRA,19745.0
125,2020-11-09,4712,AVANCE,600000.0
118,2020-12-31,9465,COMPRA,297105.0
118,2020-12-31,9465,AVANCE,600000.0
112,2021-03-03,9465,COMPRA,297105.0
112,2021-03-03,9465,AVANCE,600000.0
112,2021-02-26,7592,COMPRA,20856.0
112,2021-02-26,7592,COMPRA,507000.0
117,2021-01-22,7592,COMPRA,20856.0
117,2021-01-22,7592,COMPRA,507000.0
118,2020-12-28,3891,AVANCE,800000.0
131,2020-12-12,2789,COMPRA,57150.0
126,2021-01-27,2648,COMPRA,80000.0
126,2021-01-27,2648,COMPRA,123010.0
108,2020-11-12,2648,COMPRA,80000.0
108,2020-11-12,2648,COMPRA,123010.0
130,2020-12-16,9746,AVANCE,350000.0
125,2021-02-27,8831,COMPRA,167310.0
114,2021-01-04,9453,COMPRA,8137.15
130,2020-09-03,7983,COMPRA,1468056.66
130,2020-09-03,7983,COMPRA,55930.0
130,2020-09-03,7983,AVANCE,170000.0
124,2020-12-17,7983,COMPRA,1468056.66
124,2020-12-17,7983,COMPRA,55930.0
124,2020-12-17,7983,AVANCE,170000.0
136,2020-11-20,7983,COMPRA,1468056.66
136,2020-11-20,7983,COMPRA,55930.0
136,2020-11-20,7983,AVANCE,170000.0
130,2021-01-31,8187,COMPRA,427522.0
109,2020-10-28,9469,COMPRA,172642.0
109,2020-10-28,9469,COMPRA,25171.0
109,2020-10-28,9469,COMPRA,28500.0
121,2021-02-20,9469,COMPRA,172642.0
121,2021-02-20,9469,COMPRA,25171.0
121,2021-02-20,9469,COMPRA,28500.0
130,2020-12-05,9469,COMPRA,172642.0
130,2020-12-05,9469,COMPRA,25171.0
130,2020-12-05,9469,COMPRA,28500.0
124,2020-12-16,9400,COMPRA,40000.0
131,2020-12-16,4430,COMPRA,1248132.0
131,2020-12-16,4430,COMPRA,22946.42
131,2020-12-16,4430,COMPRA,337336.0
119,2021-01-25,4430,COMPRA,1248132.0
119,2021-01-25,4430,COMPRA,22946.42
119,2021-01-25,4430,COMPRA,337336.0
